[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 0.00%, 16.55MiB / 3.871GiB, 0.42%, 2.91kB / 182B, 58.5MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 293.03%, 1.23GiB / 3.871GiB, 31.78%, 11.7MB / 279kB, 1.98GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 293.03%, 1.23GiB / 3.871GiB, 31.78%, 11.7MB / 279kB, 1.98GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 304.51%, 1.651GiB / 3.871GiB, 42.66%, 11.7MB / 279kB, 1.99GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 304.51%, 1.651GiB / 3.871GiB, 42.66%, 11.7MB / 279kB, 1.99GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 256.74%, 1.965GiB / 3.871GiB, 50.76%, 11.7MB / 279kB, 2.01GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 256.74%, 1.965GiB / 3.871GiB, 50.76%, 11.7MB / 279kB, 2.01GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 162.49%, 2.079GiB / 3.871GiB, 53.70%, 11.7MB / 279kB, 2.11GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 162.49%, 2.079GiB / 3.871GiB, 53.70%, 11.7MB / 279kB, 2.11GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 215.74%, 2.21GiB / 3.871GiB, 57.09%, 11.7MB / 279kB, 2.24GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 215.74%, 2.21GiB / 3.871GiB, 57.09%, 11.7MB / 279kB, 2.24GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 215.74%, 2.21GiB / 3.871GiB, 57.09%, 11.7MB / 279kB, 2.24GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 215.74%, 2.21GiB / 3.871GiB, 57.09%, 11.7MB / 279kB, 2.24GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 15.40%, 2.283GiB / 3.871GiB, 58.98%, 11.7MB / 279kB, 2.59GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 15.40%, 2.283GiB / 3.871GiB, 58.98%, 11.7MB / 279kB, 2.59GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 15.40%, 2.283GiB / 3.871GiB, 58.98%, 11.7MB / 279kB, 2.59GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 15.40%, 2.283GiB / 3.871GiB, 58.98%, 11.7MB / 279kB, 2.59GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
