[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.00%, 4.043MiB / 3.871GiB, 0.10%, 29.1kB / 13.7kB, 0B / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.34%, 4.621MiB / 125MiB, 3.70%, 10.2kB / 5.14kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.29%, 7.379MiB / 3.871GiB, 0.19%, 363kB / 587kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.07%, 8.898MiB / 3.871GiB, 0.22%, 596kB / 382kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 5.12kB / 3.94kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.03%, 18.87MiB / 500MiB, 3.77%, 21.6kB / 4.55kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.34%, 4.621MiB / 125MiB, 3.70%, 10.2kB / 5.14kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.29%, 7.379MiB / 3.871GiB, 0.19%, 363kB / 587kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 15.80%, 8.914MiB / 3.871GiB, 0.22%, 607kB / 392kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 5.12kB / 3.94kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.38%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.43%, 18.89MiB / 500MiB, 3.78%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 4.629MiB / 125MiB, 3.70%, 10.2kB / 5.14kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 19.78%, 7.379MiB / 3.871GiB, 0.19%, 371kB / 598kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 15.80%, 8.914MiB / 3.871GiB, 0.22%, 607kB / 392kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.984MiB / 50MiB, 3.97%, 5.12kB / 3.94kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.38%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.43%, 18.89MiB / 500MiB, 3.78%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 4.629MiB / 125MiB, 3.70%, 10.2kB / 5.14kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 19.78%, 7.379MiB / 3.871GiB, 0.19%, 371kB / 598kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.68%, 8.914MiB / 3.871GiB, 0.22%, 618kB / 400kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.11%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 18.89MiB / 500MiB, 3.78%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.37%, 4.629MiB / 125MiB, 3.70%, 10.4kB / 5.25kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.57%, 7.379MiB / 3.871GiB, 0.19%, 379kB / 608kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.68%, 8.914MiB / 3.871GiB, 0.22%, 618kB / 400kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.11%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 18.89MiB / 500MiB, 3.78%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.37%, 4.629MiB / 125MiB, 3.70%, 10.4kB / 5.25kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.57%, 7.379MiB / 3.871GiB, 0.19%, 379kB / 608kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.49%, 8.918MiB / 3.871GiB, 0.22%, 628kB / 408kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.18%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 18.89MiB / 500MiB, 3.78%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 4.637MiB / 125MiB, 3.71%, 10.4kB / 5.25kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.36%, 7.379MiB / 3.871GiB, 0.19%, 388kB / 618kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.49%, 8.918MiB / 3.871GiB, 0.22%, 628kB / 408kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.18%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 18.89MiB / 500MiB, 3.78%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 4.637MiB / 125MiB, 3.71%, 10.4kB / 5.25kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.81kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.36%, 7.379MiB / 3.871GiB, 0.19%, 388kB / 618kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.43%, 8.918MiB / 3.871GiB, 0.22%, 651kB / 418kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.68%, 19.02MiB / 500MiB, 3.80%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.39%, 4.637MiB / 125MiB, 3.71%, 10.6kB / 5.35kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.91%, 7.383MiB / 3.871GiB, 0.19%, 397kB / 642kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.43%, 8.918MiB / 3.871GiB, 0.22%, 651kB / 418kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.68%, 19.02MiB / 500MiB, 3.80%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.39%, 4.637MiB / 125MiB, 3.71%, 10.6kB / 5.35kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.91%, 7.383MiB / 3.871GiB, 0.19%, 397kB / 642kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.43%, 8.918MiB / 3.871GiB, 0.22%, 651kB / 418kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.68%, 19.02MiB / 500MiB, 3.80%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.39%, 4.637MiB / 125MiB, 3.71%, 10.6kB / 5.35kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.91%, 7.383MiB / 3.871GiB, 0.19%, 397kB / 642kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.11%, 8.918MiB / 3.871GiB, 0.22%, 662kB / 426kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.32%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.67%, 19.04MiB / 500MiB, 3.81%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 4.645MiB / 125MiB, 3.72%, 10.6kB / 5.35kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.04%, 9.402MiB / 3.871GiB, 0.24%, 405kB / 653kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.11%, 8.918MiB / 3.871GiB, 0.22%, 662kB / 426kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 1.996MiB / 50MiB, 3.99%, 5.27kB / 4.21kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.32%, 9.922MiB / 50MiB, 19.84%, 3.47kB / 954B, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.67%, 19.04MiB / 500MiB, 3.81%, 23.6kB / 4.92kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 4.645MiB / 125MiB, 3.72%, 10.6kB / 5.35kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.04%, 9.402MiB / 3.871GiB, 0.24%, 405kB / 653kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 10.34%, 8.918MiB / 3.871GiB, 0.22%, 674kB / 436kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.17%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 9.922MiB / 50MiB, 19.84%, 3.53kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.25%, 19.04MiB / 500MiB, 3.81%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 4.645MiB / 125MiB, 3.72%, 11.1kB / 5.67kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.41%, 9.41MiB / 3.871GiB, 0.24%, 413kB / 664kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 10.34%, 8.918MiB / 3.871GiB, 0.22%, 674kB / 436kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.17%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 9.922MiB / 50MiB, 19.84%, 3.53kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.25%, 19.04MiB / 500MiB, 3.81%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 4.645MiB / 125MiB, 3.72%, 11.1kB / 5.67kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.41%, 9.41MiB / 3.871GiB, 0.24%, 413kB / 664kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.98%, 8.918MiB / 3.871GiB, 0.22%, 684kB / 444kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 9.922MiB / 50MiB, 19.84%, 3.53kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.06%, 19.04MiB / 500MiB, 3.81%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.41%, 4.652MiB / 125MiB, 3.72%, 11.1kB / 5.67kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.88%, 9.41MiB / 3.871GiB, 0.24%, 421kB / 674kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.98%, 8.918MiB / 3.871GiB, 0.22%, 684kB / 444kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 9.922MiB / 50MiB, 19.84%, 3.53kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.06%, 19.04MiB / 500MiB, 3.81%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.41%, 4.652MiB / 125MiB, 3.72%, 11.1kB / 5.67kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.88%, 9.41MiB / 3.871GiB, 0.24%, 421kB / 674kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.65%, 8.918MiB / 3.871GiB, 0.22%, 695kB / 453kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.18%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.04MiB / 500MiB, 3.81%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.24%, 4.652MiB / 125MiB, 3.72%, 11.1kB / 5.67kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.59%, 9.41MiB / 3.871GiB, 0.24%, 430kB / 685kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.65%, 8.918MiB / 3.871GiB, 0.22%, 695kB / 453kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.18%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.04MiB / 500MiB, 3.81%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.24%, 4.652MiB / 125MiB, 3.72%, 11.1kB / 5.67kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.59%, 9.41MiB / 3.871GiB, 0.24%, 430kB / 685kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.56%, 8.918MiB / 3.871GiB, 0.22%, 718kB / 463kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.24%, 19.22MiB / 500MiB, 3.84%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.56%, 4.66MiB / 125MiB, 3.73%, 11.5kB / 5.99kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.41%, 9.41MiB / 3.871GiB, 0.24%, 439kB / 708kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.56%, 8.918MiB / 3.871GiB, 0.22%, 718kB / 463kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.24%, 19.22MiB / 500MiB, 3.84%, 25.7kB / 5.36kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.56%, 4.66MiB / 125MiB, 3.73%, 11.5kB / 5.99kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.41%, 9.41MiB / 3.871GiB, 0.24%, 439kB / 708kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.33%, 8.918MiB / 3.871GiB, 0.22%, 730kB / 473kB, 0B / 0B
