[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 53kB / 90kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.74%, 5.668MiB / 3.703GiB, 0.15%, 39.1MB / 29.1MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.42%, 6.812MiB / 3.703GiB, 0.18%, 28.2MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.30%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.25%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.01%, 25.66MiB / 500MiB, 5.13%, 729kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.6kB / 92.8kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.84%, 5.668MiB / 3.703GiB, 0.15%, 39.1MB / 29.1MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.46%, 6.812MiB / 3.703GiB, 0.18%, 28.2MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.17%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.66MiB / 500MiB, 5.13%, 729kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.6kB / 92.8kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.84%, 5.668MiB / 3.703GiB, 0.15%, 39.1MB / 29.1MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.46%, 6.812MiB / 3.703GiB, 0.18%, 28.2MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.17%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.66MiB / 500MiB, 5.13%, 729kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.6kB / 92.8kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.79%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.1MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.74%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.04%, 25.66MiB / 500MiB, 5.13%, 729kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.6kB / 92.8kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.79%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.1MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.74%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.04%, 25.66MiB / 500MiB, 5.13%, 729kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.6kB / 92.8kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.58%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.1MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.90%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.29%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.81%, 25.67MiB / 500MiB, 5.13%, 729kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.6kB / 92.8kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.58%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.1MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.90%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.29%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.81%, 25.67MiB / 500MiB, 5.13%, 729kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.32%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.57%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.43%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.21%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.32%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.57%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.43%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.21%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.32%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.57%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.23%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.21%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.62%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.49%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.23%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.62%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.49%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.23%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.57%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.39%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.20%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.57%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.39%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 38.9MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.20%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.89%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.82%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 39MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.25%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.17%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.89%, 5.668MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.82%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 39MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.25%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.17%, 25.67MiB / 500MiB, 5.13%, 731kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 10.33%, 5.672MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.72%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 39MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.33%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.86%, 25.68MiB / 500MiB, 5.14%, 734kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.7kB / 93kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 10.33%, 5.672MiB / 3.703GiB, 0.15%, 39.2MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.72%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 39MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.33%, 5.543MiB / 125MiB, 4.43%, 190kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.86%, 25.68MiB / 500MiB, 5.14%, 734kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.762MiB / 50MiB, 5.52%, 54.8kB / 93.3kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.07%, 5.672MiB / 3.703GiB, 0.15%, 39.3MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.05%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 39MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.36%, 5.543MiB / 125MiB, 4.43%, 191kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.20%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.68MiB / 500MiB, 5.14%, 734kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.762MiB / 50MiB, 5.52%, 54.8kB / 93.3kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.07%, 5.672MiB / 3.703GiB, 0.15%, 39.3MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.05%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 39MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.36%, 5.543MiB / 125MiB, 4.43%, 191kB / 112kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.20%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.68MiB / 500MiB, 5.14%, 734kB / 133kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 54.8kB / 93.3kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.61%, 5.672MiB / 3.703GiB, 0.15%, 39.3MB / 29.2MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.73%, 6.812MiB / 3.703GiB, 0.18%, 28.3MB / 39MB, 2.74MB / 0B
