[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.09kB / 1.71kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.57%, 5.09MiB / 3.703GiB, 0.13%, 732kB / 518kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.59%, 6.125MiB / 3.703GiB, 0.16%, 483kB / 708kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 4.871MiB / 125MiB, 3.90%, 12.3kB / 5.89kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.19%, 20.46MiB / 500MiB, 4.09%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.57%, 5.09MiB / 3.703GiB, 0.13%, 732kB / 518kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.75%, 6.125MiB / 3.703GiB, 0.16%, 493kB / 721kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 4.871MiB / 125MiB, 3.90%, 12.3kB / 5.89kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.19%, 20.46MiB / 500MiB, 4.09%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.57%, 5.09MiB / 3.703GiB, 0.13%, 732kB / 518kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.75%, 6.125MiB / 3.703GiB, 0.16%, 493kB / 721kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 4.871MiB / 125MiB, 3.90%, 12.3kB / 5.89kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.19%, 20.46MiB / 500MiB, 4.09%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.64%, 5.094MiB / 3.703GiB, 0.13%, 744kB / 528kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.68%, 6.125MiB / 3.703GiB, 0.16%, 503kB / 733kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.23%, 4.879MiB / 125MiB, 3.90%, 12.3kB / 5.89kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.46MiB / 500MiB, 4.09%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.64%, 5.094MiB / 3.703GiB, 0.13%, 744kB / 528kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.68%, 6.125MiB / 3.703GiB, 0.16%, 503kB / 733kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.23%, 4.879MiB / 125MiB, 3.90%, 12.3kB / 5.89kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.46MiB / 500MiB, 4.09%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.10%, 5.098MiB / 3.703GiB, 0.13%, 758kB / 538kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.70%, 6.129MiB / 3.703GiB, 0.16%, 513kB / 746kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.26%, 5.004MiB / 125MiB, 4.00%, 12.3kB / 5.89kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.46MiB / 500MiB, 4.09%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.10%, 5.098MiB / 3.703GiB, 0.13%, 758kB / 538kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.70%, 6.129MiB / 3.703GiB, 0.16%, 513kB / 746kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.26%, 5.004MiB / 125MiB, 4.00%, 12.3kB / 5.89kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.46MiB / 500MiB, 4.09%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.44%, 5.105MiB / 3.703GiB, 0.13%, 778kB / 548kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.44%, 6.133MiB / 3.703GiB, 0.16%, 523kB / 766kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 4.891MiB / 125MiB, 3.91%, 12.5kB / 6kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.26%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.69%, 20.63MiB / 500MiB, 4.13%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.44%, 5.105MiB / 3.703GiB, 0.13%, 778kB / 548kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.44%, 6.133MiB / 3.703GiB, 0.16%, 523kB / 766kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 4.891MiB / 125MiB, 3.91%, 12.5kB / 6kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.26%, 9.922MiB / 50MiB, 19.84%, 4.62kB / 912B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.69%, 20.63MiB / 500MiB, 4.13%, 23.9kB / 5.34kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.27%, 5.109MiB / 3.703GiB, 0.13%, 791kB / 560kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.55%, 6.137MiB / 3.703GiB, 0.16%, 533kB / 779kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 4.895MiB / 125MiB, 3.92%, 12.6kB / 6kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.18%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.65kB / 4.19kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.27%, 5.109MiB / 3.703GiB, 0.13%, 791kB / 560kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.55%, 6.137MiB / 3.703GiB, 0.16%, 533kB / 779kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 4.895MiB / 125MiB, 3.92%, 12.6kB / 6kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.18%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.17%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.45%, 5.113MiB / 3.703GiB, 0.13%, 804kB / 570kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.20%, 6.145MiB / 3.703GiB, 0.16%, 542kB / 792kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.61%, 4.902MiB / 125MiB, 3.92%, 13kB / 6.32kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.17%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.45%, 5.113MiB / 3.703GiB, 0.13%, 804kB / 570kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.20%, 6.145MiB / 3.703GiB, 0.16%, 542kB / 792kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.61%, 4.902MiB / 125MiB, 3.92%, 13kB / 6.32kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.42%, 5.113MiB / 3.703GiB, 0.13%, 816kB / 579kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.20%, 6.145MiB / 3.703GiB, 0.16%, 552kB / 804kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.29%, 4.902MiB / 125MiB, 3.92%, 13kB / 6.32kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.42%, 5.113MiB / 3.703GiB, 0.13%, 816kB / 579kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.20%, 6.145MiB / 3.703GiB, 0.16%, 552kB / 804kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.29%, 4.902MiB / 125MiB, 3.92%, 13kB / 6.32kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.78%, 5.117MiB / 3.703GiB, 0.13%, 829kB / 589kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.40%, 6.145MiB / 3.703GiB, 0.16%, 562kB / 817kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.027MiB / 125MiB, 4.02%, 13kB / 6.32kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.03%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.78%, 5.117MiB / 3.703GiB, 0.13%, 829kB / 589kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.40%, 6.145MiB / 3.703GiB, 0.16%, 562kB / 817kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.027MiB / 125MiB, 4.02%, 13kB / 6.32kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.03%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.78%, 5.117MiB / 3.703GiB, 0.13%, 829kB / 589kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.40%, 6.145MiB / 3.703GiB, 0.16%, 562kB / 817kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.027MiB / 125MiB, 4.02%, 13kB / 6.32kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.03%, 20.64MiB / 500MiB, 4.13%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.97%, 5.125MiB / 3.703GiB, 0.14%, 849kB / 600kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.69%, 6.148MiB / 3.703GiB, 0.16%, 572kB / 837kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.46%, 4.914MiB / 125MiB, 3.93%, 13.2kB / 6.43kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.76%, 20.78MiB / 500MiB, 4.16%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.523MiB / 50MiB, 5.05%, 3.97kB / 4.6kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.97%, 5.125MiB / 3.703GiB, 0.14%, 849kB / 600kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.69%, 6.148MiB / 3.703GiB, 0.16%, 572kB / 837kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.46%, 4.914MiB / 125MiB, 3.93%, 13.2kB / 6.43kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.922MiB / 50MiB, 19.84%, 4.69kB / 978B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.34kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.76%, 20.78MiB / 500MiB, 4.16%, 25.9kB / 5.78kB, 19.1MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.11%, 2.523MiB / 50MiB, 5.05%, 4.08kB / 4.83kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.15%, 5.172MiB / 3.703GiB, 0.14%, 863kB / 612kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.34%, 6.152MiB / 3.703GiB, 0.16%, 582kB / 850kB, 2.59MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 4.918MiB / 125MiB, 3.93%, 13.5kB / 6.53kB, 5.31MB / 0B
