[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 2.83kB / 1.42kB, 0B / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.21%, 3.848MiB / 125MiB, 3.08%, 9.9kB / 5.03kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 20.84%, 7.445MiB / 3.871GiB, 0.19%, 369kB / 594kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.8kB / 3.75kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.25%, 9.332MiB / 50MiB, 18.66%, 3.37kB / 870B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.36%, 21.65MiB / 500MiB, 4.33%, 21.5kB / 4.42kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.13%, 7.906MiB / 3.871GiB, 0.20%, 603kB / 387kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.21%, 3.848MiB / 125MiB, 3.08%, 9.9kB / 5.03kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 20.84%, 7.445MiB / 3.871GiB, 0.19%, 369kB / 594kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.8kB / 3.75kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.27%, 9.332MiB / 50MiB, 18.66%, 3.37kB / 870B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.32%, 21.65MiB / 500MiB, 4.33%, 21.5kB / 4.42kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 7.87%, 7.906MiB / 3.871GiB, 0.20%, 613kB / 396kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.32%, 3.852MiB / 125MiB, 3.08%, 9.9kB / 5.03kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.50%, 7.445MiB / 3.871GiB, 0.19%, 377kB / 605kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.8kB / 3.75kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.27%, 9.332MiB / 50MiB, 18.66%, 3.37kB / 870B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.32%, 21.65MiB / 500MiB, 4.33%, 21.5kB / 4.42kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 7.87%, 7.906MiB / 3.871GiB, 0.20%, 613kB / 396kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.32%, 3.852MiB / 125MiB, 3.08%, 9.9kB / 5.03kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.50%, 7.445MiB / 3.871GiB, 0.19%, 377kB / 605kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.8kB / 3.75kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.16%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 1.15%, 21.66MiB / 500MiB, 4.33%, 21.6kB / 4.5kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.51%, 7.906MiB / 3.871GiB, 0.20%, 637kB / 405kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.39%, 3.852MiB / 125MiB, 3.08%, 10.1kB / 5.14kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.38%, 7.457MiB / 3.871GiB, 0.19%, 386kB / 628kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.01%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.8kB / 3.75kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.16%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 1.15%, 21.66MiB / 500MiB, 4.33%, 21.6kB / 4.5kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.51%, 7.906MiB / 3.871GiB, 0.20%, 637kB / 405kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.39%, 3.852MiB / 125MiB, 3.08%, 10.1kB / 5.14kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.38%, 7.457MiB / 3.871GiB, 0.19%, 386kB / 628kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.01%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.02%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.22%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.02%, 21.66MiB / 500MiB, 4.33%, 21.6kB / 4.5kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.51%, 7.906MiB / 3.871GiB, 0.20%, 637kB / 405kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.39%, 3.852MiB / 125MiB, 3.08%, 10.1kB / 5.14kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.47%, 7.457MiB / 3.871GiB, 0.19%, 394kB / 639kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.01%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.02%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.22%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.02%, 21.66MiB / 500MiB, 4.33%, 21.6kB / 4.5kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.49%, 7.906MiB / 3.871GiB, 0.20%, 648kB / 413kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.34%, 3.859MiB / 125MiB, 3.09%, 10.4kB / 5.25kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.47%, 7.457MiB / 3.871GiB, 0.19%, 394kB / 639kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.02%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.22%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.02%, 21.66MiB / 500MiB, 4.33%, 21.6kB / 4.5kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.49%, 7.906MiB / 3.871GiB, 0.20%, 648kB / 413kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.34%, 3.859MiB / 125MiB, 3.09%, 10.4kB / 5.25kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.47%, 7.457MiB / 3.871GiB, 0.19%, 394kB / 639kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.84kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.16%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.39%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 12.75%, 7.906MiB / 3.871GiB, 0.20%, 659kB / 423kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.26%, 3.859MiB / 125MiB, 3.09%, 10.4kB / 5.25kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 20.36%, 7.461MiB / 3.871GiB, 0.19%, 402kB / 650kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.16%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.39%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 12.75%, 7.906MiB / 3.871GiB, 0.20%, 659kB / 423kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.26%, 3.859MiB / 125MiB, 3.09%, 10.4kB / 5.25kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 20.36%, 7.461MiB / 3.871GiB, 0.19%, 402kB / 650kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.18%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.00%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.84%, 7.906MiB / 3.871GiB, 0.20%, 670kB / 431kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.39%, 3.871MiB / 125MiB, 3.10%, 10.4kB / 5.25kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.18%, 7.465MiB / 3.871GiB, 0.19%, 410kB / 660kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.18%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.00%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.84%, 7.906MiB / 3.871GiB, 0.20%, 670kB / 431kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.39%, 3.871MiB / 125MiB, 3.10%, 10.4kB / 5.25kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.18%, 7.465MiB / 3.871GiB, 0.19%, 410kB / 660kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.32%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.48%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.98%, 7.906MiB / 3.871GiB, 0.20%, 693kB / 441kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.45%, 3.906MiB / 125MiB, 3.12%, 10.7kB / 5.5kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.22%, 7.59MiB / 3.871GiB, 0.19%, 419kB / 682kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 4.91kB / 3.98kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.32%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.48%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.98%, 7.906MiB / 3.871GiB, 0.20%, 693kB / 441kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.45%, 3.906MiB / 125MiB, 3.12%, 10.7kB / 5.5kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.22%, 7.59MiB / 3.871GiB, 0.19%, 419kB / 682kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.04%, 3.184MiB / 50MiB, 6.37%, 5.02kB / 4.21kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.23%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 1.56%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.07%, 7.906MiB / 3.871GiB, 0.20%, 703kB / 449kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.29%, 3.91MiB / 125MiB, 3.13%, 11kB / 5.61kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.54%, 7.469MiB / 3.871GiB, 0.19%, 428kB / 693kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.04%, 3.184MiB / 50MiB, 6.37%, 5.02kB / 4.21kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.23%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 1.56%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.07%, 7.906MiB / 3.871GiB, 0.20%, 703kB / 449kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.29%, 3.91MiB / 125MiB, 3.13%, 11kB / 5.61kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 22.54%, 7.469MiB / 3.871GiB, 0.19%, 428kB / 693kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 5.02kB / 4.21kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.19%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.05%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.21%, 7.906MiB / 3.871GiB, 0.20%, 714kB / 457kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.20%, 3.918MiB / 125MiB, 3.13%, 11kB / 5.61kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.88%, 7.477MiB / 3.871GiB, 0.19%, 435kB / 704kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 5.02kB / 4.21kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.19%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.05%, 21.66MiB / 500MiB, 4.33%, 23.6kB / 4.88kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.21%, 7.906MiB / 3.871GiB, 0.20%, 714kB / 457kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.20%, 3.918MiB / 125MiB, 3.13%, 11kB / 5.61kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.88%, 7.477MiB / 3.871GiB, 0.19%, 435kB / 704kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 5.02kB / 4.21kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.17%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.16%, 21.66MiB / 500MiB, 4.33%, 25.5kB / 5.25kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 12.98%, 7.914MiB / 3.871GiB, 0.20%, 725kB / 467kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.21%, 3.922MiB / 125MiB, 3.14%, 11kB / 5.61kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.80%, 9.48MiB / 3.871GiB, 0.24%, 444kB / 715kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 5.02kB / 4.21kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.17%, 9.332MiB / 50MiB, 18.66%, 3.48kB / 912B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.16%, 21.66MiB / 500MiB, 4.33%, 25.5kB / 5.25kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 12.98%, 7.914MiB / 3.871GiB, 0.20%, 725kB / 467kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.21%, 3.922MiB / 125MiB, 3.14%, 11kB / 5.61kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.80%, 9.48MiB / 3.871GiB, 0.24%, 444kB / 715kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.91kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.184MiB / 50MiB, 6.37%, 5.02kB / 4.21kB, 0B / 0B
